0	2018/8/7 12:43	1	2	我看见你就饱了,1
0	2018/8/7 12:43	2	1	为什么,0
0	2018/8/7 12:43	1	2	为什么上课迟到,0
0	2018/8/7 12:44	1	2	“睡过头了，老师,0
0	2018/8/7 12:44	2	1	为什么睡过头,0
0	2018/8/7 12:44	1	2	我做梦梦到上课了，想多听一会,2
0	2018/8/7 12:46	1	2	你看我是歌手吗,1
0	2018/8/7 12:46	2	1	不是,0
0	2018/8/7 12:46	1	2	哥们，看看我的头像牛吗,0
0	2018/8/7 12:47	1	2	像,0
0	2018/8/7 12:47	2	1	美女男厕在哪,0
0	2018/8/7 12:48	1	2	女厕旁边,0
0	2018/8/7 12:49	1	2	张一山原名叫什么,0
0	2018/8/7 12:49	2	1	刘星,2
0	2018/8/7 12:51	1	2	你好娘……,1
0	2018/8/7 12:52	1	2	你好，儿子。,0
0	2018/8/7 12:52	2	1	鲁迅是哪里人 ？,0
0	2018/8/7 12:53	1	2	周树人啊,0
10	2018/8/12 20:22	1	2	妈 我是你的什么,1
10	2018/8/12 20:22	1	2	妈的智障.,0
10	2018/8/12 20:23	2	1	你终于来了！为什么昨天没有来上课？,0
10	2018/8/12 20:23	1	2	因。。因为，我妈从楼梯上摔下来。。,0
10	2018/8/12 20:24	1	2	喔！原来如此，妈妈受伤了所以你没来。,0
10	2018/8/12 20:24	2	1	不是…是我爸受伤。。,0
10	2018/8/12 20:24	1	2	为什么你妈从楼梯上摔下来你爸会受伤？,0
10	2018/8/12 20:24	1	2	因为。。我爸在外面有女人。。,0
10	2018/8/12 20:24	2	1	什么？。。那跟你妈从楼梯上摔下来有什么关系？,0
10	2018/8/12 20:24	1	2	因为他们打架。。我妈摔倒没事我爸被我妈打伤。,0
10	2018/8/12 20:25	1	2	喔。。那么因为你送爸爸去医院，所以没来上课？,0
10	2018/8/12 20:25	2	1	不是。。是外面的女人送我爸去的。,2
10	2018/8/12 20:28	1	2	那你为什么没来上课？,2
10	2018/8/12 20:35	1	2	因为我睡过头了。。,1
03	2018/8/12 20:42	1	2	“真的吗？在哪里？快带我去！“,2
03	2018/8/12 20:43	2	1	就在隔壁的幼儿园！“,1
03	2018/8/12 20:43	1	2	我脸上有东西没？,2
03	2018/8/12 20:44	1	2	有,1
03	2018/8/12 20:44	2	1	还有嘛,2
03	2018/8/12 20:45	1	2	有,2
03	2018/8/12 20:46	1	2	……有什么？,1
03	2018/8/12 20:46	2	1	肉,0
